entity,n,category,predicted occupation,title1,title2,title3,title4,title5,description1,description2,description3,description4,description5
Jessica Brodock,15,person,businessperson,Jessica Brodock - Director Of Development - ProLove Ministries ...,"Angola, IN - Angola Area Chamber of Commerce",Bird leading Steuben County United Way | Heraldrepublican ...,Executive Director Jessica Brodock Jessica@UnitedWaySteuben ...,Society of St. Vincent de Paul- Angola - Home | Facebook,"View Jessica Brodock's profile on LinkedIn, the world's largest professional community. Jessica has 3 jobs listed on their profile. See the complete profile ...","﻿​Chairperson: Jessica Brodock, Steuben County United Way. completing year 3. Vice Chair: Jessica Bird, Steuben Lakes Regional Waste District.","May 13, 2022 ... ANGOLA — It's almost fitting that Jessica Bird was hired as the new ... Bird replaced Jessica Brodock, who is pursuing a different career.","3D, Angola, IN 46703, or email jessica@unitedwaysteuben.org. *A United Way representative will contact your company for logo information if applicable.","Society of St. Vincent de Paul- Angola, Angola, Indiana. 139 likes. Fighting poverty in Steuben County ... Jessica Brodock, profile picture. Jessica Brodock."
Kim Meyers,15,person,judge,Elected Officials,Filing opens with a flourish on Wednesday | Heraldrepublican ...,Auditor,"Dr. Kimberly Myers, Principal — Consulting | Deloitte US",Commissioner race materializes | Heraldrepublican | kpcnews.com,Auditor: Kim Meyers · Circuit Court Judge: Allen Wheat · Clerk of Court: Tangi Manahan · Coroner: Rodney Snyder · Magistrate: James Burns,"Jan 6, 2022 ... ANGOLA — Filing for the May 3 primary in Indiana opened on Wednesday and there ... Kim Meyers, who can't run again due to state term limits.","Sign up for email updates. get started now. Our Location. 317 South Wayne Street Angola, IN 46703 (260)668-1000. Employee Portal. Popular Links.","Dr. Kimberly Myers is a leader in Deloitte's healthcare practice, with over 15 years of experience working with federal and healthcare nonprofit clients.","Apr 6, 2022 ... ANGOLA — The race for Steuben County Commissioner North District ... The seat is open this election because Auditor Kim Meyers can't run ..."
Darryl Willis,15,person,businessperson,Darryl Willis - Wikipedia,FINAL__Darryl Willis INROADS Alumni Profile,"Darryl Willis | Board Member | Dril-Quip, Inc",Darryl Willis - Corporate Vice President Energy Industry - Microsoft ...,Darryl Willis,"He previously worked as Vice President of Oil, Gas and Energy for Google and as President and General Manager of BP Angola. Darryl Willis. Born, 1969 (age 52–53).",Darryl Willis. President and General Manager. BP Angola. “The intersection of my life in 1989 with INROADS altered the trajectory of my life.”.,"Darryl K. Willis has been a director of the Company since June 2021. ... General Manager of BP Angola, and Vice President – Technology Operations at BP-TNK ...","View Darryl Willis' profile on LinkedIn, the world's largest professional community. ... Previously, I held the roles of CEO of BP Angola, Head of Deepwater ...","Mar 10, 2022 ... As Vice President of Microsoft Energy Industry, Darryl Willis leads the ... His other past roles include president and CEO of BP Angola; ..."
Vera Daves,14,person,politician,Vera Daves - Wikipedia,"Biography Mrs. Vera Esperança dos Santos Daves de Sousa, was ...",Vera Esperança dos Santos Daves De Sousa | World Bank Live,Governor Talk: Vera Daves de Sousa - Angola's Experience with ...,Angola: Finance Minister Vera Daves has one of Africa's toughest jobs,Vera Esperança dos Santos Daves De Sousa (born 1984) is an Angolan politician who has been the country's Minister of Finance since 2019.,"Mrs. Vera Esperança dos Santos Daves de Sousa, was born in Luanda and has a degree in Economics from the Catholic University of Angola (UCAN).","Vera Esperança dos Santos Daves de Sousa, was born in Luanda, and has a degree in Economics from the Catholic University of Angola (UCAN).","Governor Talk: Angola. Tuesday, Oct 13, 2020 | 07:00 AM - 07:30 AM ...","Mar 20, 2020 ... When she took over as Angola's Finance Minister last October, Vera Esperança dos Santos Daves had the gargantuan task of restructuring ..."
Karen Herman,14,person,businessperson,Karen S. Herman – RetailWire,Key-Officers.pdf,"The Lens: After Ida, New Orleans ... - Orleans Public Defenders","Judge denies Travis Boys new trial, sentences him to life in prison",Participant List,"Karen S. Herman. CEO and Disruptive Retail Specialist, Gustie Creative LLC. With two decades of executive level experience in commercial design, planning, ...","Angola. LUANDA (E) Rua Houari Boumedienne #32, 011-244-222-641-000,. Fax 011-244-222-641-232, INMARSAT Tel 011-871-683-133-246,.","Sep 22, 2021 ... ... transferred several hours away to the Louisiana State Penitentiary at Angola. ... Chief Judge of Criminal District Court, Karen Herman, ...","May 3, 2018 ... Judge Karen Herman said during sentencing, ""I see no basis ... But I will ask Judge Herman to sentence you so that you never leave Angola ...","Oct 20, 2020 ... Commission. Angola. Jefferson. Kambo. ""Director of Regulation and. Supervision Dept."" ""Central Bank of Liberia"". Liberia. Herman. Kamil."
Kevin Wallace,14,person,critic,Angola Three - Wikipedia,"Exxon, New York prosecutors face off in climate change fraud trial ...",How Albert Woodfox Survived Solitary | The New Yorker,"Wallace resigns from Bowling Green, takes St. Xavier job | Prep ...",A Living Death—Life without Parole for Nonviolent Offenses,"The Angola Three are three African-American former prison inmates (Robert King, Albert Woodfox and Herman Wallace) who were held for decades in solitary ...","Oct 22, 2019 ... “Exxon only ever told its investors about a single set of assumptions,” Kevin Wallace, acting chief of the New York Attorney General's ...","Jan 8, 2017 ... As one of the Angola 3, he was in isolation longer than any other ... Woodfox, Wallace, and King circulated a letter to all the inmates on ...","Feb 5, 2018 ... For more than two decades, Kevin Wallace led the Bowling Green High School football team as the standard for Class 5A high school football ...",Alexander was a patient in the Angola hospice program who later succumbed to brain and lung cancers. ... Kevin Ott is serving life without.
Joe Waitz,14,person,lawyer,"JOSEPH BALLARD VS JOSEPH L. WAITZ, JR., DISTRICT ...","State v. Hebert, NUMBER 2016 KA 1372 | Casetext Search + Citator",Accused killer has lengthy criminal history - The Times of Houma ...,"Rembert v. Bonvillain, 202 So. 2d 320 | Casetext Search + Citator",Casino killer pleads guilty to murders,"JOSEPH BALLARD VS JOSEPH L. WAITZ, JR., DISTRICT ATTORNEY, 32ND JUDICIAL DISTRICT.","Apr 12, 2017 ... Joseph L. Waitz, Jr. District Attorney Ellen Daigle Doskey ... Hebert James Anthony Hebert Angola, LA Defendant/Appellant In Proper Person ...","Nov 2, 2016 ... District Attorney Joe Waitz Jr., whose prosecutors were forced to plea-bargain with Scott the last time he appeared in court for a felony, ...","Joseph L. Waitz, of O'Neal Waitz, Houma, for appellant. ... was serving a sentence in the Louisiana State Penitentiary at Angola for the crime of burglary.","Dec 13, 2007 ... “We're very victim oriented,” said District Attorney Joe Waitz Jr. ... “Two life sentences at Angola is not a bright future,” Pastor said."
Krista Miller,14,person,businessperson,"Administration - Cameron Memorial Community Hospital - Angola, IN",Krista Miller - Fund Development Director - Cameron Memorial ...,Angola (3341) | Rotary District 6540,YMCA of Steuben County - Steuben County Community Foundation,"“Endanger your employees today, they won't be around tomorrow ...","Krista Miller. Executive Fund Development Director, Cameron Hospital Foundation. A graduate of The Ohio State University, Krista joined the Cameron Hospital ...","View Krista Miller's profile on LinkedIn, the world's largest ... See the complete profile on LinkedIn and discover Krista's connections and ... Angola, IN.",Club Executives. Title. Name. Please log in to view contact info. President Elect. member Name Info Img Krista Miller. member photo ...,"Angola, IN 46703 ... Interview with YMCA Executive Director, Krista Miller: ... This is what keeps Krista Miller motivated as Executive Director of the YMCA ...","By Krista Miller. Published: Feb. 2, 2022 at 11:46 AM PST. FORT WAYNE, Ind. (WPTA) - Nearly all of 21Country is under a special travel status, ..."
Emily Kai,14,person,social activist,Emily Kai - Kezdőlap | Facebook,Emily Kai - Home | Facebook,T-SHIRTS & BRACELETS,"Emily Kai LLC Company Profile | Fort Wayne, IN | Competitors ...",The Bent Fork: Home,"Emily Kai, Fort Wayne, Indiana. ... Új fiók létrehozása · Borítókép: Emily Kai fényképe. ... Angola Kid's League. Nonprofit szervezet. 1355 ember kedveli.",Emily Kai · April 24 ·. Genuine Baroque Pearl & Matte .925 Sterling Silver with Adjustable Sizing Each Ring is One of a Kind.,"Calico's & Collectibles - Angola, IN ... Sutton's Deli - Angola, IN ... Liv bracelet was designed by Olivia and is exclusively available on EmilyKai.com.","Find company research, competitor information, contact details & financial data for Emily Kai LLC of Fort Wayne, IN. Get the latest business insights from ...",Featured Vendors · Free People · Emily Kai · Chilewich ...
Sean Miller,13,person,businessperson,Sean Miller - Missionary Regional Area Director - Child Evangelism ...,MillerTime33Art | Etsy,Graber Miller qualifies for Nationals at Sean Brady Alumni Open ...,"Law Office of Sean D Miller A Company Profile | Bossier City, LA ...",Angola's rise in high school football an old-fashioned tale | News ...,"View Sean Miller's profile on LinkedIn, the world's largest professional community. Sean has 3 jobs listed on their profile. See the complete profile on ...",5 out of 5 stars. Smooth shipping. Has a history of shipping on time with tracking. Rave reviews. 95% or more recent reviews were 5 stars. Sean Miller.,"Jan 15, 2022 ... ANGOLA, Ind. – Simon Graber Miller became the first Goshen indoor track and field athlete to qualify for Nationals. On Saturday, he finished ...",Looking for a credit report on Law Office of Sean D Miller A? Our Business Information Report Snapshot is a collection of business credit scores and ratings ...,"Nov 2, 2017 ... The story of Angola High School's unbeaten football team doesn't hinge on ... receiver Sean Miller – and the result was a 60-yard touchdown."
Michael Chia,13,person,businessperson,Keppel to deliver one of the world's largest FPSOs to Bumi Armada,Keppel Set to Deliver Armada Olombendo FPSO for East Hub ...,Michael Chia - Paintings for Sale | Artfinder,Keppel to deliver one of the world's largest FPSOs to Bumi Armada ...,"Lourenço, the quiet man leading Angola's 38-year changing of ...","Oct 25, 2016 ... ... contract for the exploration and production company, Eni Angola. Mr Michael Chia, Managing Director (Marine & Technology) of Keppel O&M, ...","Oct 25, 2016 ... ... vessels (FPSO) to Bumi Armada for operations offshore Angola. ... Michael Chia, managing director (Marine & Technology) of Keppel O&M, ...",Artist Michael Chia's profile on Artfinder. Buy Paintings by Michael Chia and discover artworks from independent artists.,"Oct 28, 2016 ... ... to Bumi Armada Berhad (Bumi Armada) for operations in offshore Angola. ... Mr Michael Chia, Managing Director (Marine & Technology) of ...","Aug 18, 2017 ... Corruption and a deep economic crisis have put pressure on the People's Movement for the Liberation of Angola (MPLA), a party that has led ..."
Iain Levine,13,person,critic,"More than 120,000 child soldiers fighting in Africa - Angola | ReliefWeb",Why human rights matter - Atlantic Council,Internationalizing the human rights movement: creating a North ...,"More Than 120,000 Child Soldiers Fighting in Africa | Human Rights ...",Angola legalises gay rights group in national first | CGTN Africa,"Apr 19, 1999 ... ""This research should provoke outrage from civil society and governments like,"" said Iain Levine, UN representative for Amnesty ...","Dec 10, 2018 ... Iain Levine is the deputy executive director of Human Rights Watch. Follow him on Twitter @iainlevine. Civil Society Human Rights Nationalism.","Apr 1, 2014 ... I recently sent a news release from Human Rights Watch about the enforced disappearance and killing of two activists by the Angolan ...","Apr 18, 1999 ... ... from civil society and governments like,"" said Iain Levine, ... In Angola, forced recruitment of youth (""Rusgas"") continues in some of ...","Jun 28, 2018 ... Iris Angola ,The LGBT association which was founded five years ago ... Iain Levine who also posted the undated official confirmation."
Kim Shoup,13,person,lawyer,"Kim Shoup - Angola, Indiana Lawyer - Justia",Kim Shoup - attorney - Attorney Kim E. Shoup | LinkedIn,"Kim Shoup - Lawyer in Angola, IN - Avvo","Shoup & Shoup - an Angola, Indiana (IN) Law Firm","SHOUP KIM E ATTY - Lawyers - 112 S Wayne St, Angola, IN ...","Angola, Indiana attorney Kim Shoup. Research legal experience, professional associations, jurisdictions and contact information on Justia.","View Kim Shoup's profile on LinkedIn, the world's largest professional community. Kim has 1 job listed on ... Angola, Indiana, United States62 connections.","Find Indiana attorney Kim Shoup in their Angola office. Practices Land use and zoning. Find reviews, educational history and legal experience.","Shoup & Shoup, an Angola, Indiana (IN) Law Firm - ... 112 S. Wayne St. Angola, IN 46703- 1935. Write A Review ... Kim Elliott Shoup · Wilson E Shoup ...","Shoup Kim E Atty in Angola, reviews by real people. Yelp is a fun and easy way to find, recommend and talk about what's great and not so great in Angola and ..."
Danny Martiny,13,person,critic,Martiny says Impastato used sheriff's office for robocalls | Local ...,LEGISLATIVE AUDIT ADVISORY COUNCIL Minutes of Meeting ...,"In Jefferson council race, Dominick Impastato, Danny Martiny claw ...",'We're not giving up': Tulane Law clinic frees man from life sentence ...,"Regan Law, P.L.C. – New Orleans – Louisiana Senate votes to ...","Danny Martiny on Tuesday (Oct. 3) accused Dominick Impastato, his opponent in the Jefferson Parish Council's hard-fought District 4 race, ...","Mar 21, 2017 ... Senator Danny Martiny. Senator John Smith ... Louisiana State Penitentiary at Angola – Department of Public Safety and Corrections –.","Clawing for every last vote and sniping at each other's advertisements, Dominick Impastato III and Danny Martiny are locked in a momentous campaign for the ...","Oct 23, 2018 ... While in prison, he worked in Angola's hospice, in the infirmary and ... Danny Martiny to sponsor the bill; they went to Baton Rouge to ...","May 10, 2017 ... He came to Angola 55 years ago, when he was 17 (NOLA.com). ... Danny Martiny, R-Kenner, on the Senate floor completely removed all ..."
Carolina Cerqueira,13,person,politician,Carolina Cerqueira - Wikipedia,speech to be delivered by her excellency dr. carolina cerqueira ...,Angola : Minister Carolina Cerqueira wants - ProQuest,Carolina Cerqueira - Wikidata,CAROLINA ... - Portal Oficial do Governo da República de Angola,Carolina Cerqueira is an Angolan politician. She is the Angola State Minister for Social Affair and a member of the Popular Movement for the Liberation of ...,"Apr 26, 2010 ... CAROLINA CERQUEIRA, MINISTER OF SOCIAL COMMUNICATION ... On behalf of the Government of Angola, let me express our.","Angola : Minister Carolina Cerqueira wants regional network of cultural industry promotion ... MENA Report; London (Nov 29, 2018). ... You might have access to the ...",Angolan politician. In more languages. Spanish. Carolina Cerqueira. política angoleña. Traditional Chinese. No label defined. No description defined.,SEPE - Portal dos Serviços Públicos Electrónicos do Governo de Angola. ... Home · Presidência · Órgãos Auxiliares; CAROLINA CERQUEIRA. governo.gov.ao ...
Jose Lourenco,13,person,politician,João Lourenço - Wikipedia,"Lourenço's Angola: The winners, the losers and the escape artists",Angola under Lourenço. Towards a Negotiated Hegemony | IFRI ...,Angola: Has President Lourenço delivered an 'economic miracle'?,João Lourenço's reforms in Angola are pleasing the IMF | The ...,"João Manuel Gonçalves Lourenço, GColIH (born 5 March 1954) is an Angolan politician who has served as the president of Angola since 26 September 2017.","May 13, 2021 ... When João Lourenço's took over as president, it marked a turning point in Angolan history. In September 2017, after 38 years of rule by José ...","Feb 23, 2018 ... Joao Lourenço Jose Eduardo Dos Santos Mouvement populaire pour la libération de l'Angola MPLA Movement for the Liberation of Angola Angola.","May 10, 2021 ... When João Lourenço's took over as president, it marked a turning point in Angolan history. In September 2017, after 38 years of rule by José ...","Feb 20, 2021 ... João Lourenço's reforms in Angola are pleasing the IMF ... In August, José Filomeno dos Santos, son of the former president, was one of four ..."
Gary Young,13,person,social activist,Board Members & Staff — The Angola Museum at the Louisiana ...,Mixed among Angola rodeo inmates is a 79-year-old rodeo legend,"John Schneider, Angola Prison Rodeo Is So Much More, Young ...",MDOC head: Put inmates back to work,Two inmates commit suicide Saturday at Angola; no connection ...,Gary Young WAE Board of Pardons and Committee on Parole. Norris Henderson Founder and Executive Director Voice of the Experienced (VOTE). Todd Hernandez,"Apr 17, 2013 ... Rodeo clown Rick Young stands between bulls, inmates for 54 years ... Gary Young with the Angola Prison Rodeo says Young is an example of ...","Oct 23, 2019 ... Actor and musician John Schneider and Asst. Warden Gary Young join us to talk about John's concerts at the Angola Prison Rodeo.","Oct 24, 2015 ... These days, Angola resembles a military base, where inmates learn skills ... said Gary Young, director of public relations for the prison.","Apr 6, 2016 ... Two prisoners at the Louisiana State Penitentiary at Angola committed ... according to a news release from Angola spokesman Gary Young."
Randall Bethancourt,13,person,judge,Ronald Dominique: “The Bayou Serial Killer” Who Decimated Gay ...,Man sentenced to 99 years on child molestation and child porn ...,Life sentence upheld for child rapist,Victims' families voice outrage at Houma serial killer's plea ...,Convicted killer loses appeal,"Sep 22, 2017 ... District Judge Randy Bethancourt sent the 44-year-old Dominique to the ... now 53, remains incarcerated at the State Pen in Angola.","Jun 17, 2013 ... Judge Randall Bethancourt ordered the sentence to be served without probation, parole or suspension. Investigators with the Terrebonne ...","Feb 26, 2017 ... State District Judge Randy Bethancourt sentenced Smith to life imprisonment with no parole. Smith, a member of the anti-government Sovereign ...","Oct 1, 2008 ... He will be sent to the Louisiana State Penitentiary at Angola, ... Presiding state District Court Judge Randall Bethancourt asked Dominique ...","Oct 1, 2019 ... Following a two-day bench trial, District Judge Randy Bethancourt found ... Veal is serving his sentence in the state prison in Angola."
Bill Selman,13,person,politician,A look back at 2001 | | kpcnews.com,Center Lake park to become a reality | Heraldrepublican | kpcnews ...,Couple returns kindness of Selman to pavilion | News | kpcnews.com,"Our Team | All Appraisals, INC",Adams calls it a career as mayoral assistant | Heraldrepublican ...,"Feb 28, 2006 ... 1: Angola Mayor Edwin W. ÂŒBill' Selman Jr. dies. December 31, 2001 - ANGOLA. When Bill Selman was diagnosed with cancer in 1998, ...","Aug 4, 2018 ... Steuben County Lakes Council member Bill Schmidt, Lake James, ... The park-preserve once was a dream of Angola Mayor Bill Selman, ...","May 16, 2016 ... The pavilion is a memorial to the late Angola Mayor Bill Selman. Thanking the VanVlerahs are, from left, Angola Parks & Recreation ...","Pamela A. Selman. Licensed Residential Appraiser 260-665-2987 x-2 ... bill@allappraisalsinc.net ... 119 1/2 W Maumee Stree suite B, Angola, IN 46703.","Jan 10, 2020 ... ANGOLA — The longtime mayoral administrative assistant in Angola called ... Suzy Adams, who was first hired by Mayor Bill Selman in 2000 and ..."
Leo Varadkar,12,person,politician,Sterling jumps more than 1% after UK and Ireland talk up Brexit deal ...,Here's why Leo Varadkar is looking to avoid 'land mines in Angola',Irish PM's popularity surges as Brexit takes centre stage: poll | Reuters,Returning Precious Land in Colombia Leo Varadkar visits land ...,How Leo Varadkar imagines Ireland (and vice versa) – POLITICO,"Oct 10, 2019 ... Boris Johnson and Leo Varadkar issued a joint statement saying they “could see a pathway to a possible deal” after a meeting which was seen ...","Aug 6, 2014 ... WHEN HE WAS appointed Minister for Health in July, Leo Varadkar noted that Angola – the infamous nickname given to the Department of Health ...","Oct 15, 2019 ... Irish Prime Minister Leo Varadkar's approval rating has jumped sharply as voters back his government's approach on Brexit ahead of a ...","Apr 13, 2022 ... Leo Varadkar, Tánaiste (Deputy Prime Minister) of Ireland, visited Colombia in March as part of a South America state visit, ...","May 29, 2017 ... The Irish Minister for Social Protection, Leo Varadkar at the launch ... described by former Taoiseach Brian Cowen as “Angola” for all the ..."
Randy Smith,12,person,critic,Life sentence upheld for child rapist,"RANDY SMITH Obituary (2013) - Fort Wayne, IN - Fort Wayne ...","Jack Strain transferred to Plaquemines jail, will likely be kept away ...",Randy Smith - Manufacturing Supervisor - ImpactCNC | LinkedIn,"Our History, Community Support, Recycling, Covington Box ...","Feb 26, 2017 ... State District Judge Randy Bethancourt sentenced Smith to life imprisonment with no parole. Smith, a member of the anti-government Sovereign ...","Feb 7, 2013 ... RANDY J. SMITH, 52, passed away Saturday, Feb. ... Fla.; brother, Scott (Dorsey Kane) Smith of Angola; and several nieces and nephews.","Nov 9, 2021 ... ... and will likely serve his sentence in a state prison like Angola. ... Current St. Tammany Parish Sheriff Randy Smith won the race for ...","View Randy Smith's profile on LinkedIn, the world's largest professional community. Randy has 5 jobs listed on their profile. See the complete profile on ...","Rise, Angola ... Box & Packaging Inc. in Waterloo had been connected with RISE Inc. in Angola, ... Randy Smith: ""I have worked here almost 13 years!"
Dan Depew,12,person,businessperson,Univertical Corp. Showroom | Products Finishing,Key-Officers.pdf,Assignment Reports - The Assigned Counsel Program,"Angeline SCIOLINO Obituary (2021) - Depew, NY - Buffalo News",West Feliciana Parish Sheriff's Office > Detention > Jail Bookings,"Angola, IN 46703 US ... Univertical sales reps Dan Keller and Andre Depew ... Univertical Corp. has hired Andre Depew and Dan Keller as regional sales ...","Daniel Sweet. Angola. LUANDA (E) Rua Houari Boumedienne #32, 011-244-222-641-000,. Fax 011-244-222-641-232, INMARSAT Tel 011-871-683-133-246,.","Depew Village Court. McDonald, Kathleen, Depew, AOD 6/2022, Schaus, Daniel, 06/08/2022 00:00 am, AOD - N/A. Eden Town Court ... Angola Village Court.","Apr 14, 2021 ... April 12, 2021, age 77, wife of Charles Sciolino; devoted mother of Nancy Sciolino, Donna (Dave) Czuprynski and Daniel Sciolino; loving Nana ...","4-10- 22 - Lamson, Daniel, 47, 18757 Plank Road, Zachary; operating a vehicle ... 1-12-22 - Henderson, Tory, 40, 17544 Tunica Trace, Angola; bench warrant."
Piedade Dias,12,person,politician,Fernando da Piedade Dias dos Santos - Wikipedia,Entrevista: Fernando da Piedade Dias dos Santos | ONU News,"Fernando da Piedade Dias dos Santos – Wikipédia, a enciclopédia ...",Fernando da Piedade Dias dos Santos - Simple English Wikipedia ...,Photograph of PM Fukuda and Prime Minister of the Republic of ...,"Fernando da Piedade Dias dos Santos (born 5 March 1950), known as Nandó, is an Angolan politician who was the first vice president of Angola from February ...","Sep 1, 2015 ... O presidente da Assembleia Nacional de Angola participou do encontro. Em entrevista à Rádio ONU, Fernando Dias dos Santos afirmou que o ...","Fernando da Piedade Dias dos Santos, mais conhecido como pelo cognome Nandó, (Luanda, 5 de março de 1950) é um político angolano, primeiro-ministro de seu ...","Fernando da Piedade Dias dos Santos (born 5 March 1950), known as Nandó, is an Angolan politician. He was Vice-President of Angola from 18 February 2010 ...",Photograph of PM Fukuda and Prime Minister of the Republic of Angola Fernando da Piedade Dias dos Santos. Photograph of PM Fukuda and Prime Minister of the ...
Shelley Herbert,12,person,businessperson,20+ "Shelly Herbert" profiles | LinkedIn,Angola Kids League's Board of Directors,Ashley Howe - Administrative Coordinator - Northeast Indiana Solid ...,Robinson sworn in as Steuben sheriff | Heraldrepublican | kpcnews ...,Jeff Shively - Indiana University-Purdue University at Fort Wayne ...,"View the profiles of professionals named ""Shelly Herbert"" on LinkedIn. ... 20+Results for ""Shelly Herbert"" ... STEUBEN CO CLERK. angola high school, +1 more ...","Concessions Director, Shelley Herbert. Boys Sports Director, Jason Fraley. T-Ball Director, Brandon Appleton. Minor Boys League Director, Ron Graber.","Ashley Howe. Administrative Coordinator at NISWMD. Northeast Indiana Solid Waste Management District. Angola, Indiana, United States199 connections.","Jan 2, 2019 ... ANGOLA — There's a new sheriff in town. ... Doing the honors is Clerk Shelley Herbert. Photo contributed.","View Jeff Shively's profile on LinkedIn, the world's largest professional community. Jeff has 2 jobs listed on their profile. See the complete profile on ..."
Jason Dagate,12,person,lawyer,"State v. Young, 2014 KA 1245 | Casetext Search + Citator",Murder cases: Seventeen seek review after Supreme Court decision,C:\Temp\Copy of 09RS - SJ 0625 36 (rev 42).wpd,Louisiana Checkbook,Volume 85 Issue 1 | The American Journal of Clinical Nutrition ...,"May 6, 2015 ... Joseph L. Waitz, Jr. District Attorney and Jason Dagate Ellen Daigle Doskey Assistant District Attorneys Houma, Louisiana Attorneys for ...","Jun 11, 2016 ... ... all but one at the Louisiana State Penitentiary in Angola. ... to life without parole,"" said Jason Dagate, first assistant district ...","Jun 25, 2009 ... Mott, Jason Charles. 73396 Plantation Street ... Angola, LA 70712. Haysbert-Smith, Sancha. 904 Tensas Dr. ... Jacob D. Dagate. P.O. Box 4135.","BRANT JASON MORESI, $ 250.00. BRANT MCGEE, $ 15.40. BRANTA LAGO LLC, $ 105.00 ... DAGATES MARINE INC, $2,925.90 ... DOCCU ANGOLA BRANCH, $ 24.00.","Carlo Catassi, Elisabetta Fabiani, Giuseppe Iacono, Cinzia D'Agate, ... Low and deficient niacin status and pellagra are endemic in postwar Angola."
Ken Wilson,12,person,businessperson,Design-Build Contractor | Our Team Approach - JICI Construction,Ken Wilson - President / Owner - JICI | LinkedIn,Bill's Professional Towing & Repair breaks ground on third facility ...,ken-wilson | JICI Construction,"Ken Wilson JICI Construction Inc. 319 POKAGON TRAIL, SUITE A ...","Ken Wilson began with JICI as Director of Operations in 1998 when he was hired by the company's founder, Jim Ingledue. From there, Ken became co-owner in ...","Ken Wilson. Owner, JICI, Inc - (Construction). JICIPurdue University Fort Wayne. Angola, Indiana, United States214 connections.","Aug 24, 2021 ... Ken Wilson, president of JICI Construction, Angola, left, congratulates Bill McClanahan, owner of Bill's Professional Towing and Repair in ...","Our Location. 319 Pokagon Trail - Suite A, Angola, IN. Phone Number. 260-665-9384. ken-wilson ... JICI Construction • 319 Pokagon Trail - Suite A, Angola, ...",ANGOLA IN 46703. County STEUBEN. Project Type. New. Addition. Alteration. Existing. Change of Occupancy. Y. Y. Project Status. F. F=Filed U or Null=Unfiled.
Claudio Descalzi,12,person,businessperson,The President of Angola João Gonçalves Lourenço meets Eni's CEO ...,Claudio Descalzi - Chief Executive Officer - Eni | LinkedIn,Claudio Descalzi - Atlantic Council,Eni to invest $7 billion in Angola over next four years | Reuters,Italy: The inner circle of ENI's CEO Claudio Descalzi - Africa,"Apr 6, 2021 ... Luanda (Angola), 6 April 2021 – The President of the Republic of Angola João Gonçalves Lourenço and the CEO of Eni Claudio Descalzi met in ...",Energy is my world and has been my passion for almost 40 years. I joined Eni in the early 80s as a graduate in nuclear physics: an unusual profile in a ...,"Mar 27, 2022 ... He joined Eni in 1981 as Oil & Gas field petroleum engineer and then became project manager for the development of North Sea, Libya, Nigeria and ...","Apr 7, 2021 ... The plans were discussed in a meeting between Angolan President Joao Lourenco and Eni CEO Claudio Descalzi on Tuesday, and confirmed by Eni on ...","Nov 19, 2021 ... Angola's João Maria Da Silva Junior has been deputy CEO of ENI in his home country since 2014 and vice president of the sub-Saharan Africa ..."
James Le Blanc,11,person,critic,"Ball v. Leblanc, 988 F. Supp. 2d 639 | Casetext Search + Citator",JAMES LEBLANC SECRETARY LOUISIANA DEPARTMENT OF,Prison system can house inmates with coronavirus at shuttered ...,"Corrections chief gets light questioning, praise during confirmation ...",Death row inmates sue Angola Prison over 'extreme' temperatures ...,"Plaintiffs filed this lawsuit against Defendants James M. LeBlanc ... in charge of death row at the Louisiana State Penitentiary in Angola, Louisiana. (Doc.",JAMES LEBLANC SECRETARY LOUISIANA DEPARTMENT OF ... Baton Rouge LA ... confined to the Louisiana State Penitentiary in Angola Louisiana filed a.,"May 15, 2020 ... LeBlanc himself directed Angola to shutter Camp J after years of complaints about inmate suicides, harsh solitary confinement practices and ...","James “Jimmy” LeBlanc is yet to be formally reinstalled as secretary of the ... State Penitentiary at Angola Warden Burl Cain, who said in March LeBlanc is ...","Jun 11, 2013 ... The defendants are Department of Public Safety and Corrections and specifically its Secretary James LeBlanc, Angola Prison Warden Burl Cain ..."
Patrick Tandy,11,person,businessperson,Real Estate in the United States - Dentons,Archives | Stories | Obituaries - Hastings Banner,National Archives National Personnel Records Center (NPRC) VIP ...,Disciplinary Actions...,First Presidency Calls 164 New Mission Leaders to Begin Serving in ...,"United States · Tandy C. Patrick. Tandy C. Patrick Partner, Louisville Louisville D +1 502 587 3512 Lexington Lexington D +1 859 288 4705 · William R. Taxay.","On January 21, 1950, Joan married Richard Spitzer in Angola, IN. ... Arnolda (Knooihuizen) and his children, Patrick (Jason Moon), Jason (Deanna) and Jon ...","Jan 4, 2010 ... Mercenary in Angola, imprisoned. V2779. Adair, Morris N ... Bellinger, Patrick. 6598. On the December 7, 1941 attack on ... Tandy, Charles D.","Branden Patrick Tylus License No. LRT.322755 May 23, 2022 ... 22 Main Street Angola LA, 70712 ... TANDY WILSON MCELWEE JR, MD License No.","Jan 7, 2022 ... Angola Luanda, Scott and Jenny Sykes. Botswana/Namibia, Clint and Janette Walker ... Colorado Denver South, Bradford C and Tandy Floyd."
